depth,base_filters,batch_size,params,n,steps_per_epoch,avg_time_mean,avg_time_std,thr_mean,thr_std,acc_mean,acc_std
4,32,2048,1304746,1,25,0.8122294169152156,0.0,61558.96223248861,0.0,0.35120001435279846,0.0
4,64,32,4948938,1,1563,6.403067638981156,0.0,7808.757117542476,0.0,0.10000000149011612,0.0
4,64,64,4948938,1,782,3.8992611144203693,0.0,12822.942227461617,0.0,0.6976000070571899,0.0
4,64,96,4948938,1,521,2.9609203439904377,0.0,16886.64137874608,0.0,0.7016000151634216,0.0
4,64,128,4948938,3,391,2.627819613010312,0.010573384033357143,19027.386977154085,76.70440122090001,0.700433353583018,0.010751894749732439
4,64,192,4948938,1,261,2.156788057065569,0.0,23182.620951651505,0.0,0.663100004196167,0.0
4,64,384,4948938,1,131,1.7762191881192848,0.0,28149.679011711123,0.0,0.6517999768257141,0.0
4,64,768,4948938,1,66,1.5678446354577318,0.0,31890.914998349002,0.0,0.45350000262260437,0.0
4,64,1024,4948938,1,49,1.512607050477527,0.0,33055.51166392825,0.0,0.44909998774528503,0.0
4,64,1536,4948938,1,33,1.4735612629447132,0.0,33931.40228189885,0.0,0.39329999685287476,0.0
4,64,2048,4948938,1,25,1.4236818589270115,0.0,35120.20588482007,0.0,0.3515999913215637,0.0
4,128,32,19259914,1,1563,10.284327432047576,0.0,4861.766637669681,0.0,0.10000000149011612,0.0
4,128,96,19259914,1,521,5.547230660915375,0.0,9013.506568654073,0.0,0.10000000149011612,0.0
4,128,192,19259914,1,261,4.4315757440635934,0.0,11282.668488060597,0.0,0.6597999930381775,0.0
4,128,384,19259914,1,131,3.9306003119563684,0.0,12720.703208592995,0.0,0.5860999822616577,0.0
4,128,768,19259914,1,66,3.625499530462548,0.0,13791.2029997204,0.0,0.4262999892234802,0.0
4,128,1536,19259914,1,33,3.4963080735178664,0.0,14300.79928559948,0.0,0.3587000072002411,0.0
5,16,32,1212954,1,1563,4.752669447450899,0.0,10520.40343912779,0.0,0.10000000149011612,0.0
5,16,96,1212954,1,521,1.9019703591475263,0.0,26288.527452346985,0.0,0.6395000219345093,0.0
5,16,192,1212954,1,261,1.1778852473944426,0.0,42448.95681527822,0.0,0.5985000133514404,0.0
5,16,384,1212954,1,131,0.836985582485795,0.0,59738.18551509945,0.0,0.5600000023841858,0.0
5,16,768,1212954,1,66,0.6717665784526616,0.0,74430.61563909498,0.0,0.41909998655319214,0.0
5,16,1536,1212954,1,33,0.5935798505088314,0.0,84234.66523861744,0.0,0.37959998846054077,0.0
5,32,32,4779178,1,1563,5.590495462412946,0.0,8943.751110464047,0.0,0.10000000149011612,0.0
5,32,96,4779178,1,521,2.382351612439379,0.0,20987.666026679886,0.0,0.10000000149011612,0.0
5,32,192,4779178,1,261,1.598898675525561,0.0,31271.525059938464,0.0,0.61080002784729,0.0
5,32,384,4779178,1,131,1.1919307910138741,0.0,41948.74432052322,0.0,0.5249000191688538,0.0
5,32,768,4779178,1,66,1.009667528909631,0.0,49521.251865944854,0.0,0.39559999108314514,0.0
5,32,1536,4779178,1,33,0.893701316555962,0.0,55947.10343796287,0.0,0.33410000801086426,0.0
5,64,32,18975690,1,1563,8.504516241024248,0.0,5879.229174589502,0.0,0.10000000149011612,0.0
5,64,96,18975690,1,521,3.777753538102843,0.0,13235.37904092854,0.0,0.10000000149011612,0.0
5,64,192,18975690,1,261,2.6276191499782726,0.0,19028.63282162236,0.0,0.6571999788284302,0.0
5,64,384,18975690,1,131,2.0704865970183164,0.0,24148.912662368555,0.0,0.5544000267982483,0.0
5,64,768,18975690,1,66,1.7816913805436343,0.0,28063.221580352412,0.0,0.43650001287460327,0.0
5,64,1536,18975690,1,33,1.6266937425825745,0.0,30737.193296519916,0.0,0.10000000149011612,0.0
5,128,32,75624970,1,1563,18.739134708535857,0.0,2668.2128485486855,0.0,0.10000000149011612,0.0
5,128,64,75624970,3,782,11.169005649164319,0.002013355501031066,4476.674348069218,0.8069022711953168,0.10000000149011612,0.0
5,128,96,75624970,1,521,8.63609130110126,0.0,5789.656252664221,0.0,0.10000000149011612,0.0
5,128,192,75624970,1,261,6.14276078203693,0.0,8139.662567719278,0.0,0.10000000149011612,0.0
5,128,384,75624970,1,131,4.963601801544428,0.0,10073.330214450818,0.0,0.45989999175071716,0.0
5,128,768,75624970,1,66,4.354516046005301,0.0,11482.332243526456,0.0,0.10000000149011612,0.0
5,128,1536,75624970,1,33,4.058452816912904,0.0,12319.965823338785,0.0,0.10000000149011612,0.0
